text,text_lemmatize
i dont think the moss will die out because when moss dies it will become rich soil for new mosses and plants to grow,i do not think the moss will die out because when moss die -PRON- will become rich soil for new moss and plant to grow
i dont think metal ever lived,i do not think metal ever live
i dont think so because what if a bee died in it,i do not think so because what if a bee die in -PRON-
i learned tha there are over   types of ants also they are soical insects witch mean they move in larage groups,i learn tha there be over    type of ant also -PRON- be soical insect witch mean -PRON- move in larage group
i noticed that maybe only some trees have moss growing to the north maybe like a compass moss will grow to the north because there is something there what is that something,i notice that maybe only some tree have moss grow to the north maybe like a compass moss will grow to the north because there be something there what be that something
i predict that the moss on the ground will keep growing if it gets water and sun or else it will die my theory is that the cold weather and the rain will keep it alive or the rain will sit there and the cold will freeze it,i predict that the moss on the ground will keep grow if -PRON- get water and sun or else -PRON- will die -PRON- theory be that the cold weather and the rain will keep -PRON- alive or the rain will sit there and the cold will freeze -PRON-
i think once the ivy interacts with the skin it will infect the outside layer of skin and the interaction will cause an infection from bolth the ivy and the skin and that will create the rash ,i think once the ivy interact with the skin -PRON- will infect the outside layer of skin and the interaction will cause an infection from bolth the ivy and the skin and that will create the rash
i think that the weather is making the apples fall down beacause the wind is putting preser on the apple my theory is that when the apples fall down they rot because they dont get the nuterents they need i need to understand that the applesare like people if the dont get there nutrents they get sick,i think that the weather be make the apple fall down beacause the wind be put preser on the apple -PRON- theory be that when the apple fall down -PRON- rot because -PRON- do not get the nuterent -PRON- need i need to understand that the applesare like people if the do not get there nutrent -PRON- get sick
i think that there is nutrients in thing animals eat that give them energy if they cant get energy they might be a canirvor if its a plant because they cant convert those nutrients,i think that there be nutrient in thing animal eat that give -PRON- energy if -PRON- can not get energy -PRON- may be a canirvor if -PRON- a plant because -PRON- can not convert those nutrient
i think you miss understand what spores are spores are kind of like the seeds for moss exept there´re microscphic,i think -PRON- miss understand what spore be spore be kind of like the seed for moss exept there´re microscphic
i think your  answer is correct and that it is probably a different type of moss,i think -PRON-   answer be correct and that -PRON- be probably a different type of moss
if a feamle ants eat the right food they turn into queen ants,if a feamle ant eat the right food -PRON- turn into queen ant
if an ant eats the right kind of food it can become a queen ant,if an ant eat the right kind of food -PRON- can become a queen ant
in photosynethesis the plant will use energy from the sunlight to convert carbon dioxide from the atmosphere into simple sugars a plant needs water and sunlight for food,in photosynethesis the plant will use energy from the sunlight to convert carbon dioxide from the atmosphere into simple sugar a plant need water and sunlight for food
in the daytime the hot air comes from the river and than it goes up in the air and than the cold air replaces it in the courtyard when its about to be winter the nights are cold but in the summer the nights are worm by the ways the air cycle in the daytie is the opposite of the air cycle in the nightime,in the daytime the hot air come from the river and than -PRON- go up in the air and than the cold air replace -PRON- in the courtyard when -PRON- about to be winter the night be cold but in the summer the night be worm by the way the air cycle in the daytie be the opposite of the air cycle in the nightime
is that the green side might be for camofloging with the leef and brown side for sand,be that the green side may be for camofloge with the leef and brown side for sand
it interacts with humans because if it is contagous than it can spred around if you tuch it,-PRON- interact with human because if -PRON- be contagous than -PRON- can spre around if -PRON- tuch -PRON-
it probably grew like that over time maybe something happened to it,-PRON- probably grow like that over time maybe something happen to -PRON-
leaves absorbe the sun light and water and creates the suger that it uses to live,leave absorbe the sun light and water and create the suger that -PRON- use to live
maybe a cherry tree or some type of trees full of fruits,maybe a cherry tree or some type of tree full of fruit
maybe small animals like ants for a nest or a birdwhen the moss is on the tree the bird might use it for its nest,maybe small animal like ant for a nest or a birdwhen the moss be on the tree the bird may use -PRON- for -PRON- nest
maybe the ant that eats the right food will not be the king because it dosent lay babies but it can lead the other ants to find another group with a queen,maybe the ant that eat the right food will not be the king because -PRON- dosent lie baby but -PRON- can lead the other ant to find another group with a queen
maybe there is somethingattracting the moss so it goes north,maybe there be somethingattracte the moss so -PRON- go north
mosquioes are the most different creature on the planet because its one of the only living creature carry diseases,mosquioe be the most different creature on the planet because -PRON- one of the only living creature carry disease
moss only grows on the northern side of tress if the tree lives in the northern hemisphere if the tree lives in the southern hemisphere the moss grows on the southern side of trees,moss only grow on the northern side of tress if the tree live in the northern hemisphere if the tree live in the southern hemisphere the moss grow on the southern side of tree
moss will grow better in damper places because it takes in all the water in the air,moss will grow better in damper place because -PRON- take in all the water in the air
most animals need water to survive water allows metabolism occur which is the process that drives all the biochemical reaction that take places in cells,most animal need water to survive water allow metabolism occur which be the process that drive all the biochemical reaction that take place in cell
most likely it would not grow just because that the roots are whatstartthe process for the tree to grow my theory mostly is that the tree will not grow anymore but will still live unless you cut it or it falls,most likely -PRON- would not grow just because that the root be whatstartthe process for the tree to grow -PRON- theory mostly be that the tree will not grow anymore but will still live unless -PRON- cut -PRON- or -PRON- fall
my theory is you can feel the sun on you even if itś far away because the rays give off a whole lot of energy the sun reflects on a cloud and a cloud shoots to the ground like a mirror,-PRON- theory be -PRON- can feel the sun on -PRON- even if itś far away because the ray give off a whole lot of energy the sun reflect on a cloud and a cloud shoot to the ground like a mirror
my theroy is that white soil interacts with the plants the same as brown regular does because i have observed no change between either white soil or regular brown soil my hypothisis is that they are just diffrent colors and i do not think that that change makes a diffrence of how they grow,-PRON- theroy be that white soil interact with the plant the same as brown regular do because i have observe no change between either white soil or regular brown soil -PRON- hypothisis be that -PRON- be just diffrent color and i do not think that that change make a diffrence of how -PRON- grow
no because metal is not madde out of anything living,no because metal be not madde out of anything live
noah another term is apex prdetor wich means top of the food web,noah another term be apex prdetor wich mean top of the food web
out side in the courtyard i found a brick wih a small patch of moss in the middle of the brick touching no other patches of moss i need to understand how the moss lives this theory cannot explain because i have not gatherd enough informaition,out side in the courtyard i find a brick wih a small patch of moss in the middle of the brick touch no other patch of moss i need to understand how the moss live this theory can not explain because i have not gatherd enough informaition
photosynthesis is the process by which green plants and some other organisms use sunlight to create foods from carbon dioxide and water,photosynthesis be the process by which green plant and some other organism use sunlight to create food from carbon dioxide and water
photosynthesis is the process used by plants algae and certain bacteria to harness energy from sunlight and turn it into chemical energy here we describe the general principles of photosynthesis and highlight how scientists are studying this natural process to help develop clean fuels and sources of renewable energy,photosynthesis be the process use by plant algae and certain bacteria to harness energy from sunlight and turn -PRON- into chemical energy here -PRON- describe the general principle of photosynthesis and highlight how scientist be study this natural process to help develop clean fuel and source of renewable energy
poison in poison ivy poison oak and poison sumac is called urushiol and it is used to protect the plant never burn the plant because if the urushiol gets in the air and you breathe it in it will most likely kill you,poison in poison ivy poison oak and poison sumac be call urushiol and -PRON- be use to protect the plant never burn the plant because if the urushiol get in the air and -PRON- breathe -PRON- in -PRON- will most likely kill -PRON-
rhizoids are the super thin roots that hold the moss in place they aren´t very strong so you could pick it up without struggle,rhizoid be the super thin root that hold the moss in place -PRON- aren´t very strong so -PRON- could pick -PRON- up without struggle
serenaan egg is clear then it turns white when it is older then the baby is clear and gets its colors when its oldercamryn a baby is clear till it gets older than they turn a dark brown,serenaan egg be clear then -PRON- turn white when -PRON- be old then the baby be clear and get -PRON- color when -PRON- oldercamryn a baby be clear till -PRON- get old than -PRON- turn a dark brown
some caterpillars like monarchs eat milkweed leaves so that they can scare there predators off and so they dont get eaten,some caterpillar like monarch eat milkweed leave so that -PRON- can scare there predator off and so -PRON- do not get eat
some flowers are very sweetsmelling and they originally grew thorns to protect themselves from animals that may try to eat them so my theory is that they they may have been for protection like you said,some flower be very sweetsmelling and -PRON- originally grow thorn to protect -PRON- from animal that may try to eat -PRON- so -PRON- theory be that -PRON- -PRON- may have be for protection like -PRON- say
spiders eat insects and get eaten by birds and fish so spiders are first level predators but not apex predators,spider eat insect and get eat by bird and fish so spider be first level predator but not apex predator
spores are carried by the wind then it grows into moss,spore be carry by the wind then -PRON- grow into moss
the apple rots because the enrgery from the tree put it into the apple when it was on the tree and when said apple fell off of the tree it didnt get any more food from the tree so it will rot and die then posibly get eaten,the apple rot because the enrgery from the tree put -PRON- into the apple when -PRON- be on the tree and when say apple fall off of the tree -PRON- do not get any more food from the tree so -PRON- will rot and die then posibly get eat
the bettle has a brown side for camiflouge and the green side is for that if camiflouge fails it can turn around to show the brigh green side to try to scare away the preadator,the bettle have a brown side for camiflouge and the green side be for that if camiflouge fail -PRON- can turn around to show the brigh green side to try to scare away the preadator
the energy is still being produced because if it stoped the tree would die the leaves are probably are getting weak and dry because the cold,the energy be still be produce because if -PRON- stop the tree would die the leave be probably be get weak and dry because the cold
the female moquitos spit on your skin to num up your skin were it smells looks sweeet and suger filled and then they put their sharp nose in your skin and find a blood vesel and suck out your blood,the female moquito spit on -PRON- skin to num up -PRON- skin be -PRON- smell look sweeet and suger fill and then -PRON- put -PRON- sharp nose in -PRON- skin and find a blood vesel and suck out -PRON- blood
the freezing and cold tempretures will kill the moss and the rain will help it grow,the freezing and cold tempreture will kill the moss and the rain will help -PRON- grow
the plant also useswater from rain and carbon for the process to work for the gluocose like a cooking recipe,the plant also useswater from rain and carbon for the process to work for the gluocose like a cooking recipe
there are diffrent types of moss such asiron moss wich will only grow on thigs with heavy amounts of iron on it my theory is that the moss only sticks to certain things your friend sienna ,there be diffrent type of moss such asiron moss wich will only grow on thig with heavy amount of iron on -PRON- -PRON- theory be that the moss only stick to certain thing -PRON- friend sienna
there can be a lot of different animals new information insects are anials too if insect are animals there is so many types of animals like grass hoppers ants mousqutioand other different insects,there can be a lot of different animal new information insect be anial too if insect be animal there be so many type of animal like grass hopper ant mousqutioand other different insect
they give plants energy and animals eat that plant so they get energy and so on,-PRON- give plant energy and animal eat that plant so -PRON- get energy and so on
they need sugar so they could make fruits and my question is how do the plants make sugarphoto light and synthesis putting toghetherleaves have tiny pores called stomata so carbon dioxide can enter the plant,-PRON- need sugar so -PRON- could make fruit and -PRON- question be how do the plant make sugarphoto light and synthesis put toghetherleave have tiny pore call stomata so carbon dioxide can enter the plant
toads can burrow if there is a predotor or a emergency maybe thats where toads go when its winter under ground,toad can burrow if there be a predotor or a emergency maybe that s where toad go when -PRON- winter under ground
when do the mosquitos stop drinkings the blood well thats a good question etheir the mosquitos stomach gets full or it gets spotted and flys away quickly or dies because it got swatted by somebody,when do the mosquito stop drinking the blood well that s a good question etheir the mosquito stomach get full or -PRON- get spot and fly away quickly or die because -PRON- get swat by somebody
when the apple falls from the tree it gets a bruise then the decomposers build o to the bruise and takes the energy from the apple then the apple rots,when the apple fall from the tree -PRON- get a bruise then the decomposer build o to the bruise and take the energy from the apple then the apple rot
when the apples fall they interact with the air because the apple is falling through the air when it falls to the ground it is interacting with leaves over time the apple will interact with decomposers the decomposers interact with the apple by eating it so it get rotten,when the apple fall -PRON- interact with the air because the apple be fall through the air when -PRON- fall to the ground -PRON- be interact with leave over time the apple will interact with decomposer the decomposer interact with the apple by eat -PRON- so -PRON- get rotten
when they dig the ants push dirt out to make tunnles witch makes a ant hill like when you dig with a tunnle,when -PRON- dig the ant push dirt out to make tunnle witch make a ant hill like when -PRON- dig with a tunnle
when they fall of the tree than they cant grow any more like a human when a human eats and than grows and you grow till you cant grow any more than advetually die so thats the same with apples,when -PRON- fall of the tree than -PRON- can not grow any more like a human when a human eat and than grow and -PRON- grow till -PRON- can not grow any more than advetually die so that s the same with apple
why are baby ants white when their born and then they turn to their regular ant colony color and not just be born the same color as their ant colony what i did learn though is that when the ants are born they have no legs and cant do anything without the help of the other ant or so called worker ants my theory is if the baby ants are born without legs and cant do anything by itself maybe that has to do with why its color is white also if their decomposers maybe something from that equals to why the baby abts are born white and if they eat te right type of foods they can turn to their regular coloies colors,why be baby ant white when -PRON- bear and then -PRON- turn to -PRON- regular ant colony color and not just be bear the same color as -PRON- ant colony what i do learn though be that when the ant be bear -PRON- have no leg and can not do anything without the help of the other ant or so call worker ant -PRON- theory be if the baby ant be bear without leg and can not do anything by -PRON- maybe that have to do with why -PRON- color be white also if -PRON- decomposer maybe something from that equal to why the baby abt be bear white and if -PRON- eat te right type of food -PRON- can turn to -PRON- regular coloie color
yes my theory is yes during oter sesings in winter ther fur might white or oter colers,yes -PRON- theory be yes during oter sesing in winter ther fur may white or oter coler
image https  rit albany edu manual assets  iconnoteunreadothr gif missing link link contribution by missing authorswhen a tardigrade is dry up it starts to synthesize special molecules which fill the tardigrades cells to replace lost water by forming a matrix a matrix is like a net the marix keeps cells from the tardigrade from moving or combining,image https   rit albany edu manual asset   iconnoteunreadothr gif miss link link contribution by miss authorswhen a tardigrade be dry up -PRON- start to synthesize special molecule which fill the tardigrade cell to replace lose water by form a matrix a matrix be like a net the marix keep cell from the tardigrade from move or combine
a better theory i think ant hills are living because the are in are ecosystem and they are ecsposed to air to live,a well theory i think ant hill be live because the be in be ecosystem and -PRON- be ecspose to air to live
my theory a daddy long legs fangs are to short to bite people but there tails are have been so deadly with venom,-PRON- theory a daddy long leg fang be to short to bite people but there tail be have be so deadly with venom
my theory is that maybe the berries are a source of food to the stink bugs and thats why they were all over the berries,-PRON- theory be that maybe the berry be a source of food to the stink bug and that s why -PRON- be all over the berry
my theory is that moss lets go clusters of seeds into the air and let the wind carry it away,-PRON- theory be that moss let go cluster of seed into the air and let the wind carry -PRON- away
my theory is that spiders can climb up walls because they shoot a spider web up and climb it and the web is sticky,-PRON- theory be that spider can climb up wall because -PRON- shoot a spid web up and climb -PRON- and the web be sticky
my theory is that the enviormet is good here at this time,-PRON- theory be that the enviormet be good here at this time
my theory is that the ground hog that we saw might live here in guilderland because there are nutrients maybe here so that is why i am searching wy groundhogs live in guilderland this theory cannot explain why ground hogs live in guilderland,-PRON- theory be that the ground hog that -PRON- see may live here in guilderland because there be nutrient maybe here so that be why i be search wy groundhog live in guilderland this theory can not explain why ground hog live in guilderland
my theory is that the moss might have got stuck on the brick somehow and there might have some water on it that might keep it sticking if you look in google how it gets stuck on the brick and gets nutrients from it might help,-PRON- theory be that the moss may have get stick on the brick somehow and there may have some water on -PRON- that may keep -PRON- stick if -PRON- look in google how -PRON- get stick on the brick and get nutrient from -PRON- may help
my theory is that there are all kinds of diffrent cattipilers but there is only one kind that i know that is piosenes and it is white with black spikes and it is really cool iv seen one or two before and thoes are the most dangoures cattipilers that i know,-PRON- theory be that there be all kind of diffrent cattipiler but there be only one kind that i know that be piosene and -PRON- be white with black spike and -PRON- be really cool iv see one or two before and thoe be the most dangoure cattipiler that i know
my theory is that there is oil on the poison ivy that makes you ich and there is alot of diffrent ways it can get in any were at any time at any place,-PRON- theory be that there be oil on the poison ivy that make -PRON- ich and there be alot of diffrent way -PRON- can get in any be at any time at any place
my theory is that they are poisonis because they eat stuff that makes them poison is,-PRON- theory be that -PRON- be poisoni because -PRON- eat stuff that make -PRON- poison be
my theory is that they eat anamals that cant hert them that much,-PRON- theory be that -PRON- eat anamal that can not hert -PRON- that much
my theory is that they go down deep so preditors will not eat them,-PRON- theory be that -PRON- go down deep so preditor will not eat -PRON-
my theory is that they need food to survive,-PRON- theory be that -PRON- need food to survive
my theory is that they need there fur to survive and water food,-PRON- theory be that -PRON- need there fur to survive and water food
my theory is that they still could live because they would still have a lot of their legs and most likely  legs would not through them of ballance,-PRON- theory be that -PRON- still could live because -PRON- would still have a lot of -PRON- leg and most likely   leg would not through -PRON- of ballance
my theory is that weather is a super strong force that uses lots of different matter like wind water houses and more weather can c hh znge a lot of things like people if it always snowed no crops could grow and all living things would die out,-PRON- theory be that weather be a super strong force that use lot of different matter like wind water house and more weather can c hh znge a lot of thing like people if -PRON- always snow no crop could grow and all live thing would die out
my theory is the apple fell of the tree and the decomposers eat the apple and the apple got less energy and rotted,-PRON- theory be the apple fall of the tree and the decomposer eat the apple and the apple get less energy and rot
my theory is the spider might still live for ages because a spider needs equal legs,-PRON- theory be the spider may still live for age because a spider need equal leg
my theory is the thorns are usedto keep plant eating animals away we should work together on this wondering,-PRON- theory be the thorn be usedto keep plant eat animal away -PRON- should work together on this wondering
my theory is there might have been nutrients on the bery so that must be why,-PRON- theory be there may have be nutrient on the bery so that must be why
my theory is they might crall over the school like going on it and crall on to the roof to go in the courtyard,-PRON- theory be -PRON- may crall over the school like go on -PRON- and crall on to the roof to go in the courtyard
my theory is apples fall because of gravity the apple falls when it gets ripe once it is ripe it gets weak around the stem and the gravity pulls it down to the ground,-PRON- theory be apple fall because of gravity the apple fall when -PRON- get ripe once -PRON- be ripe -PRON- get weak around the stem and the gravity pull -PRON- down to the ground
my theory is toads do not go undergrond because they do not go undergrondthey go into a state of hibernation and somecanbe exposed to temperatures below freezing aquatic,-PRON- theory be toad do not go undergrond because -PRON- do not go undergrondthey go into a state of hibernation and somecanbe expose to temperature below freeze aquatic
my theory is that the white and black catipiller is piosonous but some one else thinks there is another black and white catipiller in florida but i disagree,-PRON- theory be that the white and black catipiller be piosonous but some one else think there be another black and white catipiller in florida but i disagree
my theory it is probably damp there to because it is dark and that stops the sun from drying it so maybe it grows in dark and damp places,-PRON- theory -PRON- be probably damp there to because -PRON- be dark and that stop the sun from dry -PRON- so maybe -PRON- grow in dark and damp place
